{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
274: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, Fire Katana
275: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 4, Blue Eyes, No Weapon
276: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Red Eyes, Ice Katana
277: Centurion, Gold Car Paint, Matte Black, Guardian 2, X_X, No Weapon
278: Pilus prior, Blue Car Paint, TitaniumBlk, Guardian 4, $, No Weapon
279: Decanus, Red Car Paint, Electric, Guardian 2, Green Eyes, Fire Sniper
280: Decurion, Gold Car Paint, Cosmic Blue, Guardian 5 / WINGS, Green Skull, No Weapon
281: Decanus, Yellow Car Paint, Holographic, Guardian 3, :), No Weapon
282: Decanus, Blue Car Paint, Holographic, Guardian 1 / BASE, Green Eyes, No Weapon
283: Praefectus castrorum, Black Car Paint, Trippy Black/White, Guardian 1 / BASE, Green Eyes, Sniper
284: Praefectus castrorum, Black Car Paint, Cosmic Blue, Guardian 3, :), No Weapon
285: Praefectus castrorum, Gold Car Paint, Holographic, Guardian 4, Heart, Katana
286: Decanus, Red Car Paint, TitaniumBlk, Guardian 3, Red Eyes, No Weapon
287: Decurion, Red Car Paint, Matte Black, Guardian 1 / BASE, :), Sniper
288: Decurion, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Blue Eyes, No Weapon
289: Centurion, Purple Car Paint, Cosmic Blue, Guardian 3, Red Eyes, No Weapon
290: Praefectus castrorum, Green Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
291: Decurion, Red Car Paint, Neon, Guardian 1 / BASE, xD, No Weapon
292: Decanus, Red Car Paint, Matte Black, Guardian 1 / BASE, Mask, No Weapon
293: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, No Weapon
294: Decurion, Black Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Skull, Sniper
295: Decanus, Red Car Paint, Digital Camo, Guardian 4, Green Skull, No Weapon
296: Centurion, Red Car Paint, Trippy Black/Red, Guardian 1 / BASE, Red Eyes, No Weapon
297: Pilus prior, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, o_o, No Weapon
298: Decanus, Black Car Paint, TitaniumBlk, Guardian 2, $, Fire Katana
299: Decanus, Black Car Paint, Carbon Fiber, Guardian 3, o_o, No Weapon
300: Decanus, Yellow Car Paint, Matte Black, Guardian 4, SOL Symbol, No Weapon
301: Decanus, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, :), Katana
302: Decurion, Black Car Paint, Digital Camo, Guardian 1 / BASE, :), No Weapon
303: Decanus, Green Car Paint, Trippy Red/Black, Guardian 2, Heart, No Weapon
304: Decurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, o_o, Katana
305: Decurion, Green Car Paint, Digital Camo, Guardian 2, X_X, No Weapon
306: Decurion, Blue Car Paint, TitaniumBlk, Guardian 2, X_X, Ice Sniper
307: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Skull, Sniper
308: Decanus, Gold Car Paint, Lambo Gold, Guardian 2, xD, No Weapon
309: Decurion, Gold Car Paint, TitaniumBlk, Guardian 4, X_X, No Weapon
310: Decanus, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, No Weapon
311: Centurion, Blue Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, Katana
312: Centurion, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Red Eyes, Katana
313: Praefectus castrorum, Green Car Paint, Trippy Black/White, Guardian 4, Blue Eyes, No Weapon
314: Praefectus castrorum, Yellow Car Paint, Matte Black, Guardian 4, Green Eyes, No Weapon
315: Pilus prior, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, KILL Text, Katana
316: Decanus, Black Car Paint, Ice, Guardian 1 / BASE, $, No Weapon
317: Decurion, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, xD, No Weapon
318: Decanus, Gold Car Paint, Carbon Fiber, Guardian 4, :), No Weapon
319: Decurion, Purple Car Paint, Matte Black, Guardian 5 / WINGS, KILL Text, Ice Sniper
320: Decanus, Purple Car Paint, Hot Pink, Guardian 4, Red Eyes, No Weapon
321: Decanus, Red Car Paint, Lava, Guardian 1 / BASE, o_o, No Weapon
322: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 4, xD, No Weapon
323: Centurion, Purple Car Paint, MSMC Copper Matte, Guardian 4, X_X, Katana
324: Decurion, Gold Car Paint, Trippy Black/Red, Guardian 3, Blue Eyes, Sniper
325: Centurion, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, :), Elemental Sniper X
326: Pilus prior, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, KILL Text, No Weapon
327: Decurion, Black Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
328: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
329: Decanus, Purple Car Paint, Trippy Red/Black, Guardian 1 / BASE, Green Skull, No Weapon
330: Decurion, Yellow Car Paint, Hot Pink, Guardian 1 / BASE, KILL Text, No Weapon
331: Decurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, Green Skull, No Weapon
332: Decanus, Black Car Paint, Digital Camo, Guardian 2, X_X, Fire Sniper
333: Pilus prior, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Skull, Fire Katana
334: Decanus, Red Car Paint, Digital Camo, Guardian 3, Blue Skull, Sniper
335: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, Katana
336: Decanus, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, No Weapon
337: Decurion, Green Car Paint, TitaniumBlk, Guardian 5 / WINGS, Red Skull, Sniper
338: Decanus, Red Car Paint, Holographic, Guardian 4, Heart, No Weapon
339: Centurion, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, Daft Punk, Katana
340: Centurion, Black Car Paint, Digital Camo, Guardian 3, Target, Fire Katana
341: Decanus, Yellow Car Paint, Trippy Black/Red, Guardian 4, Blue Eyes, No Weapon
342: Centurion, Red Car Paint, Neon, Guardian 1 / BASE, Blue Skull, Sniper
343: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Mask, Fire Katana
344: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 3, Blue Eyes, Katana
345: Decanus, Purple Car Paint, Trippy Black/Red, Guardian 4, X_X, No Weapon
346: Decurion, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Heart, No Weapon
347: Decurion, Purple Car Paint, Ice, Guardian 1 / BASE, Red Eyes, Sniper
348: Centurion, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Red Skull, No Weapon
349: Decurion, Red Car Paint, Trippy Red/Black, Guardian 2, :), No Weapon
350: Centurion, Purple Car Paint, Hot Pink, Guardian 3, Green Eyes, Fire Katana
351: Decanus, Purple Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
352: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, Green Eyes, No Weapon
353: Decanus, Blue Car Paint, Trippy Black/Red, Guardian 3, Blue Eyes, Sniper
354: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, Green Skull, No Weapon
355: Pilus prior, Green Car Paint, Carbon Fiber, Guardian 2, Blue Eyes, No Weapon
356: Decanus, Red Car Paint, Hot Pink, Guardian 2, SOL Symbol, Ice Sniper
357: Decurion, Blue Car Paint, Digital Camo, Guardian 1 / BASE, o_o, No Weapon
358: Decurion, Black Car Paint, Carbon Fiber, Guardian 4, Blue Eyes, No Weapon
359: Centurion, Green Car Paint, Holographic, Guardian 1 / BASE, Blue Skull, No Weapon
360: Decanus, Green Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Skull, No Weapon
361: Decurion, Green Car Paint, Cosmic Blue, Guardian 5 / WINGS, X_X, No Weapon
362: Pilus prior, Blue Car Paint, Trippy Yellow, Guardian 2, o_o, No Weapon
363: Decanus, Green Car Paint, Holographic, Guardian 5 / WINGS, KILL Text, No Weapon
364: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
365: Decanus, Green Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, Katana
366: Decurion, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, o_o, No Weapon
367: Decanus, Green Car Paint, Lava, Guardian 3, Mask, No Weapon
368: Praefectus castrorum, Green Car Paint, Digital Camo, Guardian 3, Blue Eyes, Katana
369: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 4, Red Eyes, No Weapon
370: Decurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, No Weapon
371: Pilus prior, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, SOL Symbol, No Weapon
372: Decurion, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, Red Eyes, Ice Sniper
373: Decanus, Green Car Paint, Fire, Guardian 1 / BASE, X_X, No Weapon
374: Decurion, Green Car Paint, Hot Pink, Guardian 3, Blue Eyes, Sniper
375: Decurion, Gold Car Paint, Digital Camo, Guardian 4, SOL Symbol, No Weapon
376: Decanus, Green Car Paint, MSMC Copper Liquid, Guardian 4, xD, Electric Katana
377: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, Ice Katana
378: Pilus prior, Purple Car Paint, MSMC Copper Matte, Guardian 4, X_X, No Weapon
379: Decanus, Blue Car Paint, Lava, Guardian 1 / BASE, Heart, No Weapon
380: Decanus, Red Car Paint, Holographic, Guardian 1 / BASE, xD, No Weapon
381: Pilus prior, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, SOL Symbol, No Weapon
382: Decanus, Blue Car Paint, Holographic, Guardian 1 / BASE, KILL Text, No Weapon
383: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, :), Ice Sniper
384: Decanus, Blue Car Paint, Digital Camo, Guardian 2, Green Eyes, No Weapon
385: Decanus, Green Car Paint, TitaniumBlk, Guardian 2, Heart, No Weapon
386: Decanus, Black Car Paint, Cosmic Blue, Guardian 2, o_o, No Weapon
387: Centurion, Green Car Paint, Holographic, Guardian 2, Green Eyes, No Weapon
388: Centurion, Black Car Paint, Cosmic Blue, Guardian 4, o_o, No Weapon
389: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 4, xD, No Weapon
390: Centurion, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, o_o, No Weapon
391: Centurion, Yellow Car Paint, Holographic, Guardian 1 / BASE, Red Skull, No Weapon
392: Decurion, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Heart, Ice Katana
393: Decurion, Purple Car Paint, Holographic, Guardian 1 / BASE, Heart, No Weapon
394: Decurion, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
395: Decanus, Purple Car Paint, TitaniumBlk, Guardian 2, :), Sniper
396: Decurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, Target, Electric Sniper
397: Centurion, Purple Car Paint, Holographic, Guardian 1 / BASE, Red Skull, Katana
398: Decanus, Red Car Paint, Trippy Black/Red, Guardian 3, Blue Eyes, No Weapon
399: Decanus, Purple Car Paint, Digital Camo, Guardian 3, Blue Skull, No Weapon
400: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, SOL Symbol, No Weapon
401: Decanus, Blue Car Paint, Cosmic Blue, Guardian 2, SOL Symbol, Katana
402: Praefectus castrorum, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, Electric Sniper
403: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
404: Centurion, Yellow Car Paint, TitaniumBlk, Guardian 2, X_X, Katana
405: Decanus, Gold Car Paint, Cosmic Blue, Guardian 3, SOL Symbol, Flamethrower X
406: Decurion, Green Car Paint, Electric, Guardian 1 / BASE, Green Skull, No Weapon
407: Decanus, Green Car Paint, Hot Pink, Guardian 2, Mask, No Weapon
408: Pilus prior, Red Car Paint, Holographic, Guardian 1 / BASE, X_X, Sniper
409: Centurion, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Heart, Fire Katana
410: Decanus, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Heart, Sniper
411: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
412: Centurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
413: Decanus, Gold Car Paint, Digital Camo, Guardian 1 / BASE, xD, Electric Katana
414: Decanus, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, Blue Eyes, No Weapon
415: Centurion, Yellow Car Paint, Carbon Fiber, Guardian 2, Heart, No Weapon
416: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, KILL Text, No Weapon
417: Decanus, Purple Car Paint, Matte Black, Guardian 1 / BASE, :), No Weapon
418: Decurion, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, xD, No Weapon
419: Decanus, Green Car Paint, Hot Pink, Guardian 5 / WINGS, Heart, No Weapon
420: Decurion, Red Car Paint, Holographic, Guardian 2, o_o, No Weapon
421: Praefectus castrorum, Purple Car Paint, Holographic, Guardian 4, Red Eyes, Sniper
422: Decanus, Gold Car Paint, Matte Black, Guardian 1 / BASE, xD, No Weapon
423: Decurion, Red Car Paint, Carbon Fiber, Guardian 5 / WINGS, xD, No Weapon
424: Decurion, Purple Car Paint, Matte Black, Guardian 2, KILL Text, No Weapon
425: Praefectus castrorum, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Skull, No Weapon
426: Decurion, Black Car Paint, Digital Camo, Guardian 1 / BASE, KILL Text, No Weapon
427: Decanus, Green Car Paint, Holographic, Guardian 5 / WINGS, o_o, No Weapon
428: Praefectus castrorum, Blue Car Paint, Cosmic Blue, Guardian 4, o_o, Sniper
429: Decurion, Black Car Paint, Ice, Guardian 1 / BASE, X_X, No Weapon
430: Decanus, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, xD, Sniper
431: Praefectus castrorum, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, X_X, No Weapon
432: Decurion, Red Car Paint, Digital Camo, Guardian 1 / BASE, KILL Text, No Weapon
433: Decanus, Green Car Paint, Hot Pink, Guardian 1 / BASE, :), No Weapon
434: Decurion, Red Car Paint, Digital Camo, Guardian 2, Green Eyes, No Weapon
435: Centurion, Green Car Paint, TitaniumBlk, Guardian 2, $, No Weapon
436: Pilus prior, Blue Car Paint, Matte Black, Guardian 1 / BASE, Heart, No Weapon
437: Decanus, Gold Car Paint, TitaniumBlk, Guardian 2, Green Eyes, Sniper
438: Decanus, Red Car Paint, Hot Pink, Guardian 1 / BASE, :), Sniper
439: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, No Weapon
440: Praefectus castrorum, Black Car Paint, Cosmic Blue, Guardian 2, Red Skull, No Weapon
441: Decurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, No Weapon
442: Decurion, Black Car Paint, MSMC Copper Matte, Guardian 1 / BASE, $, No Weapon
443: Centurion, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Heart, No Weapon
444: Praefectus castrorum, Red Car Paint, Digital Camo, Guardian 3, Green Eyes, No Weapon
445: Decanus, Blue Car Paint, Cosmic Blue, Guardian 3, Daft Punk, No Weapon
446: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 3, KILL Text, No Weapon
447: Decurion, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, SOL Symbol, No Weapon
448: Decanus, Red Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, Katana
449: Decanus, Yellow Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, Katana
450: Decurion, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, No Weapon
451: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, $, No Weapon
452: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, $, Ice Sniper
453: Centurion, Purple Car Paint, Holographic, Guardian 1 / BASE, Red Skull, No Weapon
454: Decanus, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, No Weapon
455: Decanus, Purple Car Paint, Holographic, Guardian 3, Target, No Weapon
456: Decurion, Purple Car Paint, Digital Camo, Guardian 2, SOL Symbol, Katana
457: Decurion, Yellow Car Paint, Matte Black, Guardian 4, Red Eyes, Sniper
458: Centurion, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Eyes, No Weapon
459: Pilus prior, Green Car Paint, Hot Pink, Guardian 4, Blue Eyes, Katana
460: Decurion, Gold Car Paint, Neon, Guardian 2, Blue Skull, No Weapon
461: Centurion, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Mask, No Weapon
462: Decurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, No Weapon
463: Decurion, Purple Car Paint, Lava, Guardian 3, Green Eyes, No Weapon
464: Decurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, :), No Weapon
465: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, o_o, Katana
466: Decanus, Red Car Paint, TitaniumBlk, Guardian 5 / WINGS, $, No Weapon
467: Decurion, Red Car Paint, Carbon Fiber, Guardian 5 / WINGS, Red Skull, No Weapon
468: Decurion, Blue Car Paint, Trippy Yellow, Guardian 1 / BASE, :), No Weapon
469: Decanus, Purple Car Paint, Digital Camo, Guardian 2, o_o, No Weapon
470: Decurion, Gold Car Paint, MSMC Copper Matte, Guardian 4, KILL Text, No Weapon
471: Decurion, Red Car Paint, Neon, Guardian 2, Green Eyes, No Weapon
472: Decurion, Red Car Paint, Digital Camo, Guardian 1 / BASE, X_X, No Weapon
473: Decanus, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, $, No Weapon
474: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 2, X_X, Ice Sniper
475: Decurion, Purple Car Paint, Matte Black, Guardian 3, o_o, Katana
476: Decanus, Red Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
477: Decanus, Yellow Car Paint, Fire, Guardian 2, Red Eyes, No Weapon
478: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 2, Blue Skull, No Weapon
479: Praefectus castrorum, Gold Car Paint, Matte Black, Guardian 2, o_o, No Weapon
480: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Daft Punk, No Weapon
481: Decurion, Red Car Paint, TitaniumBlk, Guardian 2, Heart, No Weapon
482: Decurion, Green Car Paint, Carbon Fiber, Guardian 3, :), No Weapon
483: Pilus prior, Black Car Paint, Digital Camo, Guardian 3, Red Eyes, No Weapon
484: Decanus, Blue Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
485: Decanus, Red Car Paint, Matte Black, Guardian 3, Green Eyes, No Weapon
486: Decurion, Gold Car Paint, Lava, Guardian 4, Green Eyes, No Weapon
487: Centurion, Purple Car Paint, Cosmic Blue, Guardian 2, KILL Text, No Weapon
488: Centurion, Purple Car Paint, Cosmic Blue, Guardian 3, xD, No Weapon
489: Pilus prior, Gold Car Paint, Holographic, Guardian 2, Heart, Katana
490: Centurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, No Weapon
491: Decurion, Blue Car Paint, Matte Black, Guardian 3, Red Eyes, Fire Katana
492: Decanus, Blue Car Paint, Trippy Yellow, Guardian 2, Mask, Sniper
493: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, No Weapon
494: Decanus, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, o_o, Katana
495: Decanus, Black Car Paint, Carbon Fiber, Guardian 3, $, No Weapon
496: Decanus, Purple Car Paint, Fire, Guardian 5 / WINGS, :), No Weapon
497: Decurion, Green Car Paint, Cosmic Blue, Guardian 2, Blue Skull, Electric Sniper
498: Praefectus castrorum, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, SOL Symbol, Katana
499: Decurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
500: Pilus prior, Blue Car Paint, Carbon Fiber, Guardian 2, xD, No Weapon
501: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, Ice Sniper
502: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, KILL Text, No Weapon
503: Decurion, Red Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Red Eyes, No Weapon
504: Decanus, Yellow Car Paint, Holographic, Guardian 1 / BASE, Green Skull, No Weapon
505: Decanus, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, No Weapon
506: Decanus, Red Car Paint, Cosmic Blue, Guardian 2, Green Eyes, Sniper
507: Decanus, Yellow Car Paint, Fire, Guardian 1 / BASE, Blue Eyes, No Weapon
508: Decanus, Green Car Paint, Trippy Red/Black, Guardian 1 / BASE, Heart, Katana
509: Decurion, Yellow Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Green Eyes, No Weapon
510: Centurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Skull, No Weapon
511: Praefectus castrorum, Yellow Car Paint, TitaniumBlk, Guardian 3, xD, Katana
512: Decurion, Gold Car Paint, Digital Camo, Guardian 1 / BASE, KILL Text, No Weapon
513: Decurion, Purple Car Paint, MSMC Copper Matte, Guardian 2, $, No Weapon
514: Praefectus castrorum, Black Car Paint, Trippy Red/Black, Guardian 3, KILL Text, No Weapon
515: Decanus, Red Car Paint, Carbon Fiber, Guardian 2, SOL Symbol, No Weapon
516: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Heart, No Weapon
517: Praefectus castrorum, Black Car Paint, Digital Camo, Guardian 1 / BASE, Red Eyes, Sniper
518: Pilus prior, Gold Car Paint, Lava, Guardian 1 / BASE, Green Skull, No Weapon
519: Pilus prior, Purple Car Paint, Electric, Guardian 1 / BASE, Green Eyes, Fire Sniper
520: Centurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, Heart, No Weapon
521: Decanus, Green Car Paint, TitaniumBlk, Guardian 3, Mask, Sniper
522: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, SOL Symbol, No Weapon
523: Centurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, No Weapon
524: Praefectus castrorum, Yellow Car Paint, Carbon Fiber, Guardian 2, Red Eyes, Sniper
525: Decurion, Green Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, Sniper
526: Decurion, Blue Car Paint, Matte Black, Guardian 3, Heart, Sniper
527: Pilus prior, Yellow Car Paint, Carbon Fiber, Guardian 2, Target, No Weapon
528: Decanus, Purple Car Paint, Carbon Fiber, Guardian 3, X_X, Sniper
529: Decurion, Red Car Paint, Lava, Guardian 2, Green Eyes, No Weapon
530: Decanus, Gold Car Paint, Trippy Black/White, Guardian 1 / BASE, $, No Weapon
531: Pilus prior, Green Car Paint, MSMC Copper Liquid, Guardian 2, Red Eyes, Ice Katana
532: Centurion, Blue Car Paint, TitaniumBlk, Guardian 5 / WINGS, Blue Eyes, Sniper
533: Decanus, Blue Car Paint, Ice, Guardian 1 / BASE, Green Skull, No Weapon
534: Decanus, Purple Car Paint, Matte Black, Guardian 2, Green Eyes, No Weapon
535: Centurion, Red Car Paint, Fire, Guardian 3, SOL Symbol, Electric Katana
536: Decurion, Green Car Paint, MSMC Copper Liquid, Guardian 2, Blue Skull, Sniper
537: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 2, Red Eyes, Sniper
538: Decanus, Blue Car Paint, Lambo Gold, Guardian 1 / BASE, o_o, No Weapon
539: Decurion, Gold Car Paint, Carbon Fiber, Guardian 2, Heart, No Weapon
540: Centurion, Purple Car Paint, Trippy Black/Red, Guardian 1 / BASE, X_X, No Weapon
541: Decurion, Blue Car Paint, Lava, Guardian 1 / BASE, o_o, No Weapon
542: Decurion, Black Car Paint, Cosmic Blue, Guardian 2, xD, No Weapon
543: Pilus prior, Blue Car Paint, TitaniumBlk, Guardian 2, Blue Skull, No Weapon
544: Decanus, Black Car Paint, Matte Black, Guardian 4, Green Eyes, Ice Katana
545: Decanus, Purple Car Paint, Carbon Fiber, Guardian 3, Red Eyes, No Weapon
546: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Heart, Fire Katana
547: Decanus, Green Car Paint, Cosmic Blue, Guardian 4, Blue Eyes, Sniper
548: Decanus, Black Car Paint, MSMC Copper Matte, Guardian 3, Blue Eyes, No Weapon
549: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 4, Blue Skull, No Weapon
550: Decanus, Purple Car Paint, Cosmic Blue, Guardian 2, Green Eyes, No Weapon
551: Decanus, Black Car Paint, Cosmic Blue, Guardian 2, Green Eyes, No Weapon
552: Decurion, Purple Car Paint, Hot Pink, Guardian 1 / BASE, :), Sniper
553: Centurion, Red Car Paint, Cosmic Blue, Guardian 2, Green Eyes, No Weapon
554: Decanus, Black Car Paint, Digital Camo, Guardian 2, Blue Eyes, No Weapon
555: Tribunus laticlavius, Yellow Car Paint, Matte Black, Guardian 3, Blue Eyes, Katana
556: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Eyes, No Weapon
557: Pilus prior, Gold Car Paint, Trippy Black/Red, Guardian 4, Target, Sniper
558: Decurion, Black Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, Sniper
559: Praefectus castrorum, Black Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Red Skull, Flamethrower X
560: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, Red Eyes, No Weapon
561: Decurion, Yellow Car Paint, MSMC Copper Matte, Guardian 2, :), No Weapon
